age,dfh,edu,employee_id,job_level,income,salary_increase,stock_option,training,years_company,years_promotion,years_manager,job_involvement,performance,num_companiesworked,years_working,satisfaction_environment,satisfaction_job,wlb,attrition,business_travel,department,edu_field,gender,job_role,marital
51,6,2,1,1,131160,11,0,6,1,0,0,3,3,1.0,1.0,3.0,4.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Female,Healthcare Representative,Married
31,10,1,2,1,41890,23,1,3,5,1,4,2,4,0.0,6.0,3.0,2.0,4.0,Yes,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single
32,17,4,3,4,193280,15,3,2,5,0,3,3,3,1.0,5.0,2.0,2.0,1.0,No,Travel_Frequently,Research & Development,Other,Male,Sales Executive,Married
38,2,5,4,3,83210,11,3,5,8,7,5,2,3,3.0,13.0,4.0,4.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Male,Human Resources,Married
32,10,1,5,1,23420,12,2,2,6,0,4,3,3,4.0,9.0,4.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
46,8,3,6,4,40710,13,0,5,7,7,7,3,3,3.0,28.0,3.0,2.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married
28,11,2,7,2,58130,20,1,2,0,0,0,3,4,2.0,5.0,1.0,3.0,1.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
29,18,3,8,2,31430,22,3,2,0,0,0,3,4,2.0,10.0,1.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
31,1,3,9,3,20440,21,0,2,9,7,8,3,4,0.0,10.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married
25,7,4,10,4,134640,13,1,2,6,1,5,3,3,1.0,6.0,2.0,1.0,3.0,No,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Divorced
45,17,2,11,2,79910,13,2,2,20,4,10,2,3,0.0,21.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
55,14,4,13,1,55380,17,0,2,36,4,13,3,3,0.0,37.0,4.0,1.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single
47,1,1,14,1,57620,11,2,4,10,9,9,2,3,1.0,10.0,1.0,2.0,2.0,Yes,Non-Travel,Research & Development,Medical,Male,Research Scientist,Married
28,1,3,15,1,25920,14,0,2,5,0,4,3,3,1.0,5.0,4.0,4.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married
37,1,3,16,2,53460,11,0,2,5,0,1,3,3,4.0,7.0,3.0,4.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married
21,3,2,17,1,42130,12,3,3,3,1,0,2,3,1.0,3.0,4.0,3.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
37,1,3,18,2,41270,13,1,2,5,0,2,3,3,2.0,15.0,1.0,4.0,3.0,No,Non-Travel,Research & Development,Medical,Male,Sales Executive,Divorced
35,7,4,19,1,24380,16,0,5,7,6,2,2,3,7.0,10.0,2.0,2.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced
38,8,3,20,1,68700,11,1,5,8,7,7,3,3,1.0,8.0,1.0,1.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced
